Code,Code+B1,Definition,Keywords,Notes
FF-0500.1250,Community Correctional Centres,"Community based facilities that provide supervised living and support services for nonviolent offenders and released inmates who meet specified criteria. Residents may be community sentenced offenders or probation/parole violators placed in the facility for disciplinary sanctions as an alternative to incarceration, work release offenders, offenders owing restitution, offenders who need intensive programming, and/or offenders who have demonstrated positive adjustment while in an institutional setting and need additional support to ease the transition from incarceration to community living. Some facilities may target specific groups of offenders such as women with young children who may remain with their mothers for the duration of their stay while others are structured to accept multiple types of offenders. Residents may be permitted to leave for work, school, or treatment, but are otherwise restricted to the facility. Specific privileges and restrictions depend on the population served. Residence in a community based correctional facility may be imposed as a ""stand alone"" sentence by the courts, be a condition of supervised release for intermittent confinements or split sentences (a term of imprisonment followed by other, less restrictive sanctions), be used to tighten restrictions on offenders who have violated the conditions of their probation/parole, or provide a transitional setting for offenders selected for placement by a correctional institution at the end of their sentence. Community correctional centres may be in the community or attached to a jail or similar institution, and may be privately operated or operated by a correctional authority.",HOUSING (temporary) * probation/parole * Offenders,
FF-0500.1800-050,Adult Diversion,"Community-based programs that provide individual and group counselling, educational services or other prescribed social services for adults who have been arrested for a misdemeanour such as drunkenness, domestic violence, drug crimes or traffic violations and directed to participate in a corrective program in lieu of prosecution or, in some cases, sentencing for the offence.",COMMUNITY CORRECTIONS (restorative justice),
FF-0500.1800-350,Juvenile Diversion,"Community-based programs that provide comprehensive social services for individuals younger than age eighteen who have committed a minor offence and are directed to participate in a diversion program as an alternative to arrest, prosecution or, in some cases, sentencing for the offence. Most juvenile diversion programs do an assessment of the individual's needs and provide and/or coordinate the delivery of the necessary services which may include individual, group or family counselling, substance abuse counselling, supervised recreational activities, vocational guidance, tutorial services and supplemental referrals for other needs.",COMMUNITY CORRECTIONS (restorative justice) * Youth,
FF-0500.6500,Parole,"Programs that provide for the formal supervision of people who have been conditionally released from jail, prison or other confinement after serving part of the term for which they were sentenced based on the judgment of a parole board that there is a reasonable probability that they will live and remain at liberty without violating the law. People who are on parole remain in the legal custody of the province and may be reincarcerated if they violate the terms of their parole order.",SUPERVISION * probation/parole * Offenders,
,,,COMMUNITY CORRECTIONS,
FF-0500.6550,Probation,"Programs that provide for the formal supervision of individuals who have been convicted of a crime, usually a lesser offence, and given a suspended sentence which releases them into the community under specific conditions which may include a reduced term in a correctional facility, fines, restitution to the victim, community work, counselling, ""good conduct"" and other stipulations.",SUPERVISION * probation/parole * Offenders,
,,,COMMUNITY CORRECTIONS,
FF-1500,Correctional Facilities,"Programs within the formal criminal justice system that provide facilities for the detention of people who have been charged with a crime and are awaiting trial, and/or the confinement, treatment, employment, training and discipline of people who have been sentenced to imprisonment after conviction for a criminal offence.",CORRECTIONAL FACILITIES,
FF-3300,Inmate Support Services,"Programs that provide emotional support and friendship (through correspondence or other mechanisms) for individuals who are incarcerated in a correctional facility; facilitate continued contact between inmates and family members, friends and significant others; work to vindicate and free from prison, inmates who claim to be innocent of the crimes for which they have been convicted and sentenced; and/or ensure that inmates receive the services and support they need to solve problems arising from their incarceration and/or prepare for their release.",COUNSELLING * Inmates,
,,,COUNSELLING (peer/lay) * Inmates,
,,,INFORMATION AND REFERRAL * Inmates,
,,,TELEPHONE OUTREACH * Inmates,
FJ-6700,Provincial/Federal Crown Counsel,"Programs that are part of the provincial or federal judicial system that are responsible for prosecuting, in the name of the government, individuals who have been accused of an offence.",CROWN COUNSEL,
FL-2100,First Nations Policing,"Programs mandated through the Aboriginal Policing Directorate of Public Safety Canada that are designed to give First Nations communities greater control over the delivery and management of policing services in their communities, particularly on Reserves, and to ensure that police services are professional, effective, culturally appropriate and accountable to the people they serve. First Nations communities may choose to develop and administer their own police service, or they may choose a police service delivered by a contingent of First Nations officers working within an existing police force.",POLICE SERVICES * Aboriginal,
